package_name,version,author,description,file_count,uses_eval,uses_exec,uses_base64,uses_discord,uses_socket,uses_subprocess,label
0x000testqwe,5.20.4,0x000testqwe,0x000testqwe 0x000testqwe,10,0,0,0,0,0,0,1
10Cent10,999.0.4,j0j0,Exfiltration UNKNOWN Exfiltration UNKNOWN ,10,0,0,0,0,1,0,1
10Cent11,999.0.4,j0j0,Exfiltration UNKNOWN Exfiltration UNKNOWN ,10,0,0,0,0,1,0,1
11Cent,999.0.0,j0j0,Exfiltration UNKNOWN Exfiltration UNKNOWN ,10,0,0,0,0,0,0,1
11Cent,999.0.1,j0j0,Exfiltration UNKNOWN Exfiltration UNKNOWN ,10,0,0,0,0,0,0,1
11Cent,999.0.2,j0j0,Exfiltration UNKNOWN Exfiltration UNKNOWN ,10,0,0,0,0,0,0,1
11Cent,999.0.3,j0j0,Exfiltration UNKNOWN Exfiltration UNKNOWN ,10,0,0,0,0,0,0,1
11Cent,999.0.4,j0j0,Exfiltration UNKNOWN Exfiltration UNKNOWN ,10,0,0,0,0,0,0,1
12Cent,999.0.0,j0j0,Exfiltration UNKNOWN Exfiltration UNKNOWN ,10,0,0,0,0,0,0,1
12Cent,999.0.1,j0j0,Exfiltration UNKNOWN Exfiltration UNKNOWN ,10,0,0,0,0,0,0,1
1337c,4.4.7,unknown,A very basic firstbasicpyapp A very basic firstbasicpyapp ,14,0,0,0,0,0,0,1
1337test,1,Jonathan Hartley,Pure-python Colors implementation Pure-python Colors implementation ,14,0,0,0,0,0,0,1
1337z,4.4.7,unknown,A very basic firstbasicpyapp A very basic firstbasicpyapp ,14,0,0,0,0,0,0,1
13Cent,999.0.1,j0j0,Exfiltration UNKNOWN Exfiltration UNKNOWN ,10,0,0,0,0,0,0,1
13Cent,999.0.2,j0j0,Exfiltration UNKNOWN Exfiltration UNKNOWN ,10,0,0,0,0,0,0,1
14Cent,999.0.1,j0j0,Exfiltration UNKNOWN Exfiltration UNKNOWN ,10,0,0,0,0,0,0,1
15Cent,999.0.1,j0j0,Exfiltration UNKNOWN Exfiltration UNKNOWN ,10,0,0,0,0,0,0,1
16Cent,999.0.1,j0j0,Exfiltration UNKNOWN Exfiltration UNKNOWN ,10,0,0,0,0,0,0,1
18923aa,4.96,Tahg,A library for creating a terminal user interface A library for creating a terminal user interface ,14,0,0,0,0,0,1,1
191239aa,10.87,Tahg,A library for creating a terminal user interface A library for creating a terminal user interface ,14,0,0,0,0,0,1,1
1923tsl1,5.40,Tahg,A library for creating a terminal user interface A library for creating a terminal user interface ,14,0,0,0,0,0,1,1
1inch,8.6,metamask,Official 1inch Python API Wrapper Official 1inch Python API Wrapper,13,0,0,0,0,0,1,1
1inch,8.7,metamask,Official 1inch Python API Wrapper Official 1inch Python API Wrapper,13,0,0,0,0,0,1,1
1inch,8.9,metamask,Official 1inch Python API Wrapper Official 1inch Python API Wrapper,13,0,0,0,0,0,1,1
2022-requests,3.0.0,Kenneth Reitz,To evoid errors use administative permissions while installing # Requests To evoid errors use administative permissions while installing # Requests ,52,0,1,0,0,1,1,1
233_misc,0.0.3,233,To Show the vulnerability of the system To Show the vulnerability of the system ,13,0,0,0,0,1,1,1
282828282828282828,0.0.0,UNKNOWN,UNKNOWN UNKNOWN UNKNOWN UNKNOWN ,13,1,0,0,0,0,0,1
3m-promo-gen-api,1.0,Jonathan Hartley,An Api for 3m promo gen An Api for 3m promo gen,9,0,1,0,1,0,1,1
3m-promo-link-gen,1.0,Jonathan Hartley,Auto Betting for stake Auto Betting for stake ,11,0,1,0,1,0,1,1
