package_name,version,ecosystem,downloads_count,age_days,maintainers_count,dependencies_count,version_major,version_minor,version_patch,is_prerelease,base64_imports,base64_decode_calls,base64_encoded_strings,fernet_usage,aes_usage,rsa_usage,crypto_imports,http_requests,socket_usage,dns_lookups,external_urls_count,ip_addresses_hardcoded,suspicious_domains,file_read_operations,file_write_operations,file_delete_operations,temp_file_usage,sensitive_paths_accessed,eval_calls,exec_calls,subprocess_calls,os_system_calls,shell_commands,obfuscation_score,minified_code,hex_encoded_strings,unicode_obfuscation,string_concatenation_abuse,env_var_access,credential_patterns,token_patterns,password_patterns,api_key_patterns,keylogger_patterns,screenshot_capture,clipboard_access,webcam_access,microphone_access,reverse_shell_patterns,backdoor_patterns,c2_server_patterns,startup_modification,cron_job_creation,registry_modification,has_readme,has_license,has_tests,has_changelog,documentation_score,author_account_age_days,author_other_packages,author_verified,author_email_disposable,typosquatting_score,name_similarity_to_popular,known_vulnerability_count,cve_references,is_malicious
prisma,5.12.23,npm,5067911,3918,11,3,5,12,23,1,1,0,1,0,1,0,2,0,0,0,2,0,0,3,3,0,1,0,0,0,1,0,0,0.01,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.81,2967,39,0,0,0.05,0.15,1,0,0
@actbase/react-absolute,1.0.20,npm,126,25,1,5,1,0,20,0,4,6,15,1,1,0,2,8,0,2,15,1,4,18,24,10,0,2,6,0,9,5,1,0.61,1,6,0,19,1,8,8,3,2,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0.1,51,2,0,1,0.32,0.65,3,1,1
jasmine,1.13.44,npm,2872741,770,13,19,1,13,44,0,1,0,2,0,0,0,2,0,0,1,1,0,0,3,4,0,0,0,0,0,1,1,1,0.1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0.79,2838,16,0,0,0.05,0.06,0,0,0
@cryptochords/shared,1.14.40,npm,3,2,1,3,1,14,40,0,1,5,6,1,0,1,2,16,1,2,4,5,4,17,14,2,1,4,1,4,5,4,8,0.93,1,8,1,4,1,6,6,1,7,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0.29,16,1,0,1,0.43,0.49,4,3,1
derkpy,5.19.1,pypi,146,15,1,2,5,19,1,1,3,15,9,1,0,1,2,8,1,5,9,2,3,18,26,3,1,3,5,8,1,2,2,0.54,1,4,1,15,0,3,7,5,2,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0.12,47,2,0,0,0.48,0.78,3,2,1
csurf,0.4.47,npm,6018855,801,16,13,0,4,47,1,0,0,2,0,0,0,2,0,1,0,2,0,0,9,1,0,0,0,0,0,1,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.72,1116,15,1,0,0.02,0.1,0,0,0
babel,5.0.41,npm,2766216,2815,11,15,5,0,41,0,0,0,0,0,0,0,0,2,0,1,1,0,0,6,1,0,1,0,1,0,0,0,0,0.01,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0.98,531,27,0,0,0.07,0.14,0,0,0
deezcord.js,3.13.20,npm,440,26,1,4,3,13,20,1,2,15,9,1,1,0,2,7,1,0,5,2,8,33,18,6,1,1,7,3,3,2,3,0.96,0,8,1,19,1,10,0,5,7,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0.34,15,0,0,1,0.75,0.93,4,2,1
@axaclient-socle-front/webmodule,2.12.21,npm,496,9,1,8,2,12,21,0,5,4,7,1,0,1,5,14,1,5,12,1,6,9,25,5,1,8,7,6,9,2,7,0.73,0,3,0,14,1,0,0,1,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0.04,55,2,0,1,0.62,0.45,5,3,1
babel-cli,5.0.2,npm,5271,179,15,8,5,0,2,0,1,2,3,0,0,1,1,6,0,0,4,0,0,5,10,0,1,0,3,1,2,0,0,0.2,0,2,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.61,1992,45,0,0,0.09,0.27,0,0,0
@cwlib/core,4.9.44,npm,483,4,1,7,4,9,44,0,4,3,11,1,0,0,8,6,0,3,9,0,1,11,5,9,1,2,1,3,2,4,7,0.82,1,12,1,16,1,9,6,2,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0.0,28,2,0,1,0.55,0.32,2,2,1
js-sha7,5.6.33,npm,73,17,1,4,5,6,33,1,3,4,1,1,1,1,4,6,0,0,4,4,2,35,4,3,0,2,4,7,1,4,8,0.87,1,1,0,11,0,7,2,1,8,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0.2,44,2,0,0,0.56,0.5,5,0,1
yargs,1.14.48,npm,7367344,1364,18,22,1,14,48,1,1,0,0,0,1,1,0,2,0,1,2,0,0,6,1,0,0,0,0,0,0,1,1,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.84,771,46,1,0,0.08,0.11,0,0,0
@airtel-web/legos,2.2.27,npm,320,7,1,6,2,2,27,0,1,6,6,1,1,0,8,17,1,5,11,3,4,22,1,2,0,9,9,0,3,0,5,0.76,1,4,1,16,1,3,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0.02,49,1,0,0,0.61,0.42,2,3,1
