package_name,version,ecosystem,downloads_count,age_days,maintainers_count,dependencies_count,version_major,version_minor,version_patch,is_prerelease,base64_imports,base64_decode_calls,base64_encoded_strings,fernet_usage,aes_usage,rsa_usage,crypto_imports,http_requests,socket_usage,dns_lookups,external_urls_count,ip_addresses_hardcoded,suspicious_domains,file_read_operations,file_write_operations,file_delete_operations,temp_file_usage,sensitive_paths_accessed,eval_calls,exec_calls,subprocess_calls,os_system_calls,shell_commands,obfuscation_score,minified_code,hex_encoded_strings,unicode_obfuscation,string_concatenation_abuse,env_var_access,credential_patterns,token_patterns,password_patterns,api_key_patterns,keylogger_patterns,screenshot_capture,clipboard_access,webcam_access,microphone_access,reverse_shell_patterns,backdoor_patterns,c2_server_patterns,startup_modification,cron_job_creation,registry_modification,has_readme,has_license,has_tests,has_changelog,documentation_score,author_account_age_days,author_other_packages,author_verified,author_email_disposable,typosquatting_score,name_similarity_to_popular,known_vulnerability_count,cve_references,is_malicious
poetry,4.2.23,pypi,563967,1884,13,17,4,2,23,0,1,2,2,1,0,0,0,0,0,0,1,0,0,5,3,1,1,0,0,0,2,0,0,0.12,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.8,847,32,1,0,0.05,0.11,0,0,0
detection-telegram,1.0.20,pypi,126,25,1,5,1,0,20,0,4,6,15,1,1,0,2,8,0,2,15,1,4,18,24,10,0,2,6,0,9,5,1,0.61,1,6,0,19,1,8,8,3,2,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0.1,51,2,0,1,0.32,0.65,3,1,1
hapi,4.18.30,npm,2942027,3656,3,24,4,18,30,0,1,1,0,0,1,0,0,0,0,1,0,0,0,9,2,1,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.9,635,29,1,0,0.06,0.11,0,0,0
@actbase/react-native-less-transformer,1.14.40,npm,3,2,1,3,1,14,40,0,1,5,6,1,0,1,2,16,1,2,4,5,4,17,14,2,1,4,1,4,5,4,8,0.93,1,8,1,4,1,6,6,1,7,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0.29,16,1,0,1,0.43,0.49,4,3,1
@frontend-clients/core,5.19.1,npm,146,15,1,2,5,19,1,1,3,15,9,1,0,1,2,8,1,5,9,2,3,18,26,3,1,3,5,8,1,2,2,0.54,1,4,1,15,0,3,7,5,2,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0.12,47,2,0,0,0.48,0.78,3,2,1
keras,0.7.12,pypi,5251396,2238,8,23,0,7,12,0,0,1,1,0,1,1,2,0,0,1,2,0,0,5,5,1,0,0,1,0,2,0,0,0.04,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1.0,1602,16,1,0,0.01,0.03,0,0,0
scipy,4.16.25,pypi,6124204,1846,11,23,4,16,25,0,0,1,2,1,0,0,0,1,1,0,0,0,0,4,5,1,0,0,0,0,2,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.91,927,50,1,0,0.09,0.08,0,0,0
@crowdstrike/logscale-file-editor,3.13.20,npm,440,26,1,4,3,13,20,1,2,15,9,1,1,0,2,7,1,0,5,2,8,33,18,6,1,1,7,3,3,2,3,0.96,0,8,1,19,1,10,0,5,7,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0.34,15,0,0,1,0.75,0.93,4,2,1
@actbase/react-native-simple-video,2.12.21,npm,496,9,1,8,2,12,21,0,5,4,7,1,0,1,5,14,1,5,12,1,6,9,25,5,1,8,7,6,9,2,7,0.73,0,3,0,14,1,0,0,1,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0.04,55,2,0,1,0.62,0.45,5,3,1
seaborn,1.18.7,pypi,6850,86,19,29,1,18,7,1,0,1,1,1,1,1,3,7,0,0,4,0,0,14,7,0,1,0,2,0,4,0,0,0.24,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.92,188,11,0,1,0.05,0.24,0,0,0
atlasctf-21-prod-03,4.9.44,pypi,483,4,1,7,4,9,44,0,4,3,11,1,0,0,8,6,0,3,9,0,1,11,5,9,1,2,1,3,2,4,7,0.82,1,12,1,16,1,9,6,2,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0.0,28,2,0,1,0.55,0.32,2,2,1
aio3,5.6.33,pypi,73,17,1,4,5,6,33,1,3,4,1,1,1,1,4,6,0,0,4,4,2,35,4,3,0,2,4,7,1,4,8,0.87,1,1,0,11,0,7,2,1,8,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0.2,44,2,0,0,0.56,0.5,5,0,1
psycopg2,2.5.29,pypi,1112009,2529,17,18,2,5,29,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9,1,0,1,0,1,1,2,0,0,0.07,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.67,433,48,1,0,0.02,0.06,0,0,0
crustyhttp,2.2.27,pypi,320,7,1,6,2,2,27,0,1,6,6,1,1,0,8,17,1,5,11,3,4,22,1,2,0,9,9,0,3,0,5,0.76,1,4,1,16,1,3,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0.02,49,1,0,0,0.61,0.42,2,3,1
solid-js,1.12.20,npm,4329932,897,5,17,1,12,20,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,1,0,0,0,2,0,0,0.13,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0.95,842,8,1,0,0.04,0.03,0,0,0
matplotlib,3.1.36,pypi,8828172,2308,17,18,3,1,36,0,0,0,0,0,1,1,0,3,0,1,2,0,0,8,4,1,0,0,1,1,1,0,1,0.03,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.85,1930,24,1,0,0.02,0.14,0,0,0
pymongo,5.10.47,pypi,1945,170,5,21,5,10,47,1,1,5,0,0,0,1,0,5,1,1,5,0,0,8,2,0,1,0,0,0,3,0,1,0.37,1,4,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0.86,281,27,1,0,0.14,0.22,0,0,0
bytekafka-0-0-15,1.3.25,pypi,191,25,1,8,1,3,25,0,5,14,2,0,0,0,6,18,1,1,11,4,3,22,30,9,1,3,3,6,10,5,5,0.99,1,15,1,20,1,7,0,2,5,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0.02,30,0,0,1,0.67,0.72,3,1,1
eslint,3.20.31,npm,7171484,3490,18,29,3,20,31,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,3,1,1,0,0,0,2,0,0,0.08,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.78,438,41,0,0,0.05,0.15,0,0,0
csurf,5.15.16,npm,9430979,1806,10,5,5,15,16,0,1,1,1,0,1,1,0,2,1,1,2,0,0,5,1,0,1,0,1,0,2,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.65,493,13,1,0,0.01,0.07,1,0,0
express-rate-limit,2.4.13,npm,8899,135,2,20,2,4,13,0,0,1,4,0,0,0,2,7,0,1,4,1,0,7,11,0,1,0,2,1,1,0,2,0.17,0,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0.96,2000,14,1,0,0.2,0.2,0,0,0
gatsby,4.10.31,npm,4149,176,19,29,4,10,31,0,0,1,5,1,0,0,4,4,0,0,1,0,0,7,7,1,1,0,2,0,4,0,0,0.21,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.77,1985,24,1,0,0.18,0.11,1,0,0
esbuild,1.0.35,npm,9849907,1662,8,20,1,0,35,0,0,0,0,0,1,0,0,1,1,0,0,0,0,7,4,0,0,0,1,0,1,0,0,0.11,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.94,2038,48,1,0,0.04,0.11,1,0,0
